place,movie_title,rate,year,star_cast
1,The Shawshank Redemption,9.233878742825368,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.15592032557414,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.985556018165248,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.98410587035784,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.947680707891257,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.935268646616448,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.921203956648453,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.850711372535518,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.803673088770944,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.793592069938725,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.767320550707055,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.74992523109219,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,Inception,8.732925802334982,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
14,The Lord of the Rings: The Two Towers,8.72788706761624,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
15,The Empire Strikes Back,8.701679683974975,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.671023443740399,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Goodfellas,8.651567671325035,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.641159826063035,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.604011553170286,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Shichinin no samurai,8.59897252907581,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.596974196336372,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.58797657795856,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Cidade de Deus,8.578828188358013,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24,Saving Private Ryan,8.577772722997084,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
25,La vita è bella,8.566061958157018,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
26,The Green Mile,8.559758880185122,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
27,Interstellar,8.555594265383913,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
28,Star Wars,8.554087160907624,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.535091516020456,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.51811898950409,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.515378473671683,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,Psycho,8.508733844767725,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
33,The Pianist,8.504550090042065,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34,Léon,8.500543279583283,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
35,Gisaengchung,8.495695519601869,2019,"Bong Joon Ho (dir.), Song Kang-ho, Sun-kyun Lee"
36,The Lion King,8.48843299734754,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.485363502185258,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.484461408667421,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Usual Suspects,8.476368044236139,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
40,The Departed,8.475096979741473,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
41,The Prestige,8.467993636948917,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Casablanca,8.465697520518411,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
43,Top Gun: Maverick,8.463440531865707,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
44,Whiplash,8.460364168459249,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
45,The Intouchables,8.453749496562562,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
46,Modern Times,8.449665050060185,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
47,Seppuku,8.448266574169914,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
