place,movie_title,rate,year,star_cast
1,The Shawshank Redemption,9.233857722383085,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
2,The Godfather,9.15589581897419,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
3,The Dark Knight,8.985517797657108,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
4,The Godfather Part II,8.984081838020469,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
5,12 Angry Men,8.947642531094003,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
6,Schindler's List,8.935264176475432,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,8.92115326896697,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,8.850719681136013,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
9,The Lord of the Rings: The Fellowship of the Ring,8.80362887224147,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
1," Il buono, il brutto, il cattivo",8.793578332075318,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
11,Forrest Gump,8.767307834295535,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
12,Fight Club,8.749940139135466,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
13,Inception,8.73291303643345,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
14,The Lord of the Rings: The Two Towers,8.727842576126411,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
15,The Empire Strikes Back,8.701691286281784,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
16,The Matrix,8.671033840745984,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
17,Goodfellas,8.651557989679239,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
18,One Flew Over the Cuckoo's Nest,8.641198308119584,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
19,Se7en,8.603996516897215,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
20,Shichinin no samurai,8.599020687358081,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
21,It's a Wonderful Life,8.59698352439894,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
22,The Silence of the Lambs,8.587977192001384,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
23,Cidade de Deus,8.57882494952001,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
24,Saving Private Ryan,8.577768779600454,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
25,La vita è bella,8.566077723905943,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
26,The Green Mile,8.559718984564539,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
27,Interstellar,8.555507426090665,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
28,Star Wars,8.554118691388611,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
29,Terminator 2: Judgment Day,8.535087495535256,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
30,Back to the Future,8.518122238248392,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
31,Sen to Chihiro no kamikakushi,8.51540239870116,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
32,Psycho,8.508767150440345,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
33,The Pianist,8.504537912443286,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
34,Léon,8.500591572875345,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
35,Gisaengchung,8.495660331715191,2019,"Bong Joon Ho (dir.), Song Kang-ho, Sun-kyun Lee"
36,The Lion King,8.48843644489077,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
37,Gladiator,8.485372121731551,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
38,American History X,8.484466196831198,1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong"
39,The Usual Suspects,8.476351955781661,1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne"
40,The Departed,8.475067395909612,2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon"
41,The Prestige,8.467999888436731,2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman"
42,Casablanca,8.465669095901546,1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman"
43,Top Gun: Maverick,8.46276896614002,2022,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly"
44,Whiplash,8.460305601010955,2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons"
45,The Intouchables,8.453785285619997,2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy"
46,Modern Times,8.449673981014422,1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard"
47,Seppuku,8.448455561148076,1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama"
48,Once Upon a Time in the West,8.44782258011416,1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson"
49,Hotaru no haka,8.447646914806894,1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi"
50,Rear Window,8.437306813392151,1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly"
51,Alien,8.435243319108954,1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt"
52,City Lights,8.43419381451158,1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill"
53,Nuovo Cinema Paradiso,8.429193258311418,1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale"
54,Memento,8.425972191586055,2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss"
55,Apocalypse Now,8.425151712688331,1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando"
56,Raiders of the Lost Ark,8.411766862483875,1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen"
57,Django Unchained,8.402641348962524,2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz"
58,WALL·E,8.392596483150378,2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight"
59,The Lives of Others,8.386249860814516,2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck"
